MAL_ID,English name,Rating,Ranked,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Episodes
1,Cowboy Bebop,1,28,1251960,61971,105808,718161,71513,26678,329800,26
5,Cowboy Bebop:The Movie,3,159,273145,1174,4143,208333,1935,770,57964,1
6,Trigun,5,266,558913,12944,29113,343492,25465,13925,146918,26
7,Witch Hunter Robin,7,2481,94683,587,4300,46165,5121,5378,33719,26
8,Beet the Vandel Buster,9,3710,13224,18,642,7314,766,1108,3394,52
15,Unknown,2,604,148259,2066,13907,78349,14228,11573,30202,145
16,Honey and Clover,4,468,214499,4101,11909,81145,11901,11026,98518,24
17,Unknown,6,1317,20470,231,817,13778,828,1168,3879,52
18,Unknown,8,360,117929,979,6082,90967,3053,1356,16471,24
19,Monster,10,30,614100,29436,64648,214491,47488,23008,264465,74
20,Naruto,9,660,1830540,65586,137167,1462223,61734,99806,69610,220
21,One Piece,7,95,1352724,126645,887333,33,187919,136245,141194,10000
22,The Prince of Tennis,6,675,141832,3124,11235,76881,12905,12516,28295,178
23,Unknown,6,6493,3648,16,170,1333,145,296,1704,12
24,School Rumble,6,625,275464,5137,12277,157789,12856,13491,79051,26
25,Desert Punk,7,1844,111734,790,6273,53819,6255,7951,37436,24
26,Texhnolyze,6,896,182599,3671,11335,47532,9815,8112,105805,22
27,Trinity Blood,9,2240,158343,1479,7794,87958,8940,9349,44302,24
28,Yakitate!! Japan,8,609,80183,887,5007,39992,5764,4633,24787,69
29,Unknown,1,1565,16652,152,857,6807,721,599,7668,26
30,Neon Genesis Evangelion,3,208,1160651,71308,66549,815938,35566,20358,222240,26
31,Neon Genesis Evangelion:Death & Rebirth,5,1742,180681,588,1941,146202,1069,961,30508,1
32,Neon Genesis Evangelion:The End of Evangelion,7,102,572080,17811,8055,482918,2462,1499,77146,1
33,Berserk,9,108,432190,18567,19540,276588,12737,9406,113919,25
43,Ghost in the Shell,2,236,468279,10362,8152,325682,3404,1927,129114,1
44,Samurai X:Trust and Betrayal,4,37,228484,6111,6359,150183,3124,1836,66982,4
